A	A 1177
I do _ what	I do know what 11
I do have	I do have 12
I do know	I do know 59
I do know _	I do know what 11
I do know what	I do know what 11
I do not	I do not 24
I do see	I do see 11
I do think	I do think 33
I do want	I do want 27
I do want _	I do want to 22
I do want to	I do want to 22
I doing	I doing 14
I done	I done 13
I ever	I ever 17
I expect	I expect 11
I feel	I feel 37
I felt	I felt 35
I find	I find 22
I first	I first 15
I found	I found 56
I gave	I gave 12
I get	I get 34
I glad	I glad 11
I go	I go 26
I going	I going 43
I going _	I going to 32
I going to	I going to 32
I got	I got 76
I got _	I got a 12
I got a	I got a 12
I had	I had 290
I had _	I had to 43	I had been 22	I had a 18	I had no 11
I had a	I had a 18
I had been	I had been 22
I had no	I had no 11
I had to	I had to 43
I have	I have 370
I have _	I have to 45	I have been 31	I have a 20	I have seen 17	I have never 16	I have always 11	I have no 11
I have a	I have a 20
I have always	I have always 11
I have been	I have been 31
I have never	I have never 16
I have no	I have no 11
I have seen	I have seen 17
I have to	I have to 45
I hear	I hear 16
I heard	I heard 27
I hellip	I hellip 11
I hope	I hope 33
I just	I just 85
I kept	I kept 19
I knew	I knew 43
I know	I know 129
I know I	I know I 11
I know _	I know you 14	I know what 13	I know I 11
I know what	I know what 13
I know you	I know you 14
I left	I left 19
I like	I like 46
I like _	I like to 15
I like to	I like to 15
I looked	I looked 32
I love	I love 48
I love _	I love you 22
I love you	I love you 22
I made	I made 25
I make	I make 17
I may	I may 13
I mean	I mean 63
I met	I met 12
I might	I might 32
I must	I must 49
I need	I need 30
I need _	I need to 15
I need to	I need to 15
I needed	I needed 11
I never	I never 51
I not	I not 80
I only	I only 17
I put	I put 19
I read	I read 15
I realized	I realized 12
I really	I really 30
I remember	I remember 37
I said	I said 193
I said _	I said to 22
I said to	I said to 22
I sat	I sat 25
I saw	I saw 43
I say	I say 43
I see	I see 38
I seen	I seen 12
I shall	I shall 37
I should	I should 54
I should _	I should have 14
I should have	I should have 14
I smiled	I smiled 14
I sorry	I sorry 32
I started	I started 22
I still	I still 27
I stood	I stood 12
I suppose	I suppose 49
I sure	I sure 18
I take	I take 17
I tell	I tell 26
I tell _	I tell you 15
I tell you	I tell you 15
I think	I think 211
I think I	I think I 29
I think _	I think I 29	I think you 22	I think it 19	I think the 15	I think we 14
I think it	I think it 19
I think the	I think the 15
I think we	I think we 14
I think you	I think you 22
I thought	I thought 92
I thought I	I thought I 12
I thought _	I thought it 14	I thought you 14	I thought I 12
I thought it	I thought it 14
I thought you	I thought you 14
I to	I to 14
I told	I told 58
I told _	I told him 20	I told her 15	I told you 11
I told her	I told her 15
I told him	I told him 20
I told you	I told you 11
I took	I took 38
I tried	I tried 21
I tried _	I tried to 13
I tried to	I tried to 13
I try	I try 12
I used	I used 26
I used _	I used to 19
I used to	I used to 19
I walked	I walked 12
I want	I want 101
I want _	I want to 62
I want to	I want to 62
I wanted	I wanted 52
I wanted _	I wanted to 25
I wanted to	I wanted to 25
I was	I was 495
I was _	I was going 21	I was not 17	I was a 16	I was in 14
I was _ _	I was going to 20
I was _ to	I was going to 20
I was a	I was a 16
I was going	I was going 21
I was going _	I was going to 20
I was going to	I was going to 20
I was in	I was in 14
I was not	I was not 17
I watched	I watched 13
I went	I went 67
I went _	I went to 15
I went to	I went to 15
I will	I will 78
I wish	I wish 21
I wo	I wo 11
I work	I work 13
I would	I would 185
I would _	I would have 27	I would like 26	I would be 16	I would not 14
I would _ _	I would like to 23
I would _ to	I would like to 23
I would be	I would be 16
I would have	I would have 27
I would like	I would like 26
I would like _	I would like to 23
I would like to	I would like to 23
I would not	I would not 14
I write	I write 13
II	II 25
IN	IN 40
IN THE	IN THE 13
IN _	IN THE 13
IS	IS 31
IT	IT 15
IUD	IUD 31
Iain	Iain 13
If	If 849
If I	If I 30
If _	If you 303	If the 104	If it 35	If your 35	If I 30	If this 30	If they 29	If a 26	If there 25	If he 23	If we 21	If so 14	If not 11
If _ _	If you are 65	If you have 39	If you do 22	If you want 18	If there is 17	If it is 13	If the glider 13	If you would 11
If _ _ _	If you want to 12	If you would like 11
If _ _ like	If you would like 11
If _ _ to	If you want to 12
If _ are	If you are 65
If _ do	If you do 22
If _ glider	If the glider 13
If _ have	If you have 39
If _ is	If there is 17	If it is 13
If _ want	If you want 18
If _ want _	If you want to 12
If _ want to	If you want to 12
If _ would	If you would 11
If _ would _	If you would like 11
If _ would like	If you would like 11
If a	If a 26
If he	If he 23
If it	If it 35
If it _	If it is 13
If it is	If it is 13
If not	If not 11
If so	If so 14
If the	If the 104
If the _	If the glider 13
If the glider	If the glider 13
If there	If there 25
If there _	If there is 17
If there is	If there is 17
If they	If they 29
If this	If this 30
If we	If we 21
If you	If you 303
If you _	If you are 65	If you have 39	If you do 22	If you want 18	If you would 11
If you _ _	If you want to 12	If you would like 11
If you _ like	If you would like 11
If you _ to	If you want to 12
If you are	If you are 65
If you do	If you do 22
If you have	If you have 39
If you want	If you want 18
If you want _	If you want to 12
If you want to	If you want to 12
If you would	If you would 11
If you would _	If you would like 11
If you would like	If you would like 11
If your	If your 35
Imperial	Imperial 13
In	In 1258
In Love	In Love 25
In _	In the 288	In this 68	In fact 58	In a 57	In addition 39	In some 30	In other 28	In Love 25	In my 20	In such 19	In his 18	In an 16	In any 15	In one 15	In many 12	In all 11	In effect 11
In _ _	In other words 19	In this case 13	In any case 11	In some cases 11	In the first 11	In this way 11
In _ case	In this case 13	In any case 11
In _ cases	In some cases 11
In _ first	In the first 11
In _ way	In this way 11
In _ words	In other words 19
In a	In a 57
In addition	In addition 39
In all	In all 11
In an	In an 16
In any	In any 15
In any _	In any case 11
In any case	In any case 11
In effect	In effect 11
In fact	In fact 58
In his	In his 18
In many	In many 12
In my	In my 20
In one	In one 15
In other	In other 28
In other _	In other words 19
In other words	In other words 19
In some	In some 30
In some _	In some cases 11
In some cases	In some cases 11
In such	In such 19
In the	In the 288
In the _	In the first 11
In the first	In the first 11
In this	In this 68
In this _	In this case 13	In this way 11
In this case	In this case 13
In this way	In this way 11
Income	Income 26
Income Support	Income Support 17
Income _	Income Support 17
Indeed	Indeed 45
India	India 27
Indian	Indian 21
Inevitably	Inevitably 14
Information	Information 41
Inn	Inn 22
Inns	Inns 15
Inside	Inside 12
Inspector	Inspector 34
Instead	Instead 32
Institute	Institute 21
InterCity	InterCity 48
International	International 56
Ireland	Ireland 157
Ireland _	Ireland and 11
Ireland and	Ireland and 11
Irish	Irish 162
Irish Times	Irish Times 18
Irish _	Irish Times 18	Irish catholic 11	Irish constitution 11
Irish catholic	Irish catholic 11
Irish constitution	Irish constitution 11
Irving	Irving 12
Is	Is 135
Is _	Is it 32	Is that 21	Is there 16	Is the 15	Is this 13
Is it	Is it 32
Is that	Is that 21
Is the	Is the 15
Is there	Is there 16
Is this	Is this 13
Island	Island 12
Israel	Israel 14
It	It 2201
It _	It is 665	It was 384	It has 60	It would 56	It a 44	It can 44	It will 37	It may 33	It not 32	It must 31	It all 30	It should 28	It also 26	It does 25	It had 25	It just 14	It seems 14	It the 14	It takes 13	It took 13	It could 12	It did 12
It _ _	It is a 66	It is not 56	It was a 56	It was the 40	It is the 31	It is important 30	It is also 29	It would be 23	It is possible 20	It has been 18	It is this 18	It may be 18	It must be 18	It can be 17	It will be 15	It should be 14	It was not 14	It is in 13	It does not 12	It is an 11	It was all 11
It _ _ _	It is important to 20
It _ _ to	It is important to 20
It _ a	It is a 66	It was a 56
It _ all	It was all 11
It _ also	It is also 29
It _ an	It is an 11
It _ be	It would be 23	It may be 18	It must be 18	It can be 17	It will be 15	It should be 14
It _ been	It has been 18
It _ important	It is important 30
It _ important _	It is important to 20
It _ important to	It is important to 20
It _ in	It is in 13
It _ not	It is not 56	It was not 14	It does not 12
It _ possible	It is possible 20
It _ the	It was the 40	It is the 31
It _ this	It is this 18
It a	It a 44
It all	It all 30
It also	It also 26
It can	It can 44
It can _	It can be 17
It can be	It can be 17
It could	It could 12
It did	It did 12
It does	It does 25
It does _	It does not 12
It does not	It does not 12
It had	It had 25
It has	It has 60
It has _	It has been 18
It has been	It has been 18
It is	It is 665
It is _	It is a 66	It is not 56	It is the 31	It is important 30	It is also 29	It is possible 20	It is this 18	It is in 13	It is an 11
It is _ _	It is important to 20
It is _ to	It is important to 20
It is a	It is a 66
It is also	It is also 29
It is an	It is an 11
It is important	It is important 30
It is important _	It is important to 20
It is important to	It is important to 20
It is in	It is in 13
It is not	It is not 56
It is possible	It is possible 20
It is the	It is the 31
It is this	It is this 18
It just	It just 14
It may	It may 33
It may _	It may be 18
It may be	It may be 18
It must	It must 31
It must _	It must be 18
It must be	It must be 18
It not	It not 32
It seems	It seems 14
It should	It should 28
It should _	It should be 14
It should be	It should be 14
It takes	It takes 13
It the	It the 14
It took	It took 13
It was	It was 384
It was _	It was a 56	It was the 40	It was not 14	It was all 11
It was a	It was a 56
It was all	It was all 11
It was not	It was not 14
It was the	It was the 40
It will	It will 37
It will _	It will be 15
It will be	It will be 15
It would	It would 56
It would _	It would be 23
It would be	It would be 23
Italian	Italian 21
Italy	Italy 28
Its	Its 55
Iverson	Iverson 34
Jack	Jack 27
Jackson	Jackson 13
James	James 130
James Menzies	James Menzies 27
James _	James Menzies 27
Jamie	Jamie 43
Jane	Jane 39
January	January 38
Japan	Japan 11
Jay	Jay 584
Jay _	Jay had 29	Jay was 26	Jay said 12
Jay had	Jay had 29
Jay said	Jay said 12
Jay was	Jay was 26
Jean	Jean 30
Jeff	Jeff 33
Jennifer	Jennifer 11
Jenny	Jenny 52
Jeremy	Jeremy 25
Jesus	Jesus 15
Jew	Jew 19
Jewish	Jewish 44
Jews	Jews 20
Jilly	Jilly 17
Jilly Jonathan	Jilly Jonathan 17
Jilly _	Jilly Jonathan 17
Jim	Jim 24
Jimmy	Jimmy 35
Joan	Joan 17
Joanne	Joanne 11
John	John 199
John _	John and 12
John and	John and 12
Jonathan	Jonathan 27
Jones	Jones 19
Joseph	Joseph 17
Judaism	Judaism 16
Julia	Julia 15
Juliet	Juliet 32
July	July 70
Junction	Junction 14
June	June 80
Just	Just 84
Kafka	Kafka 15
Kapuscinski	Kapuscinski 12
Kathleen	Kathleen 45
Katrina	Katrina 23
Keep	Keep 31
Keith	Keith 14
Kensington	Kensington 12
Kent	Kent 25
Kezia	Kezia 24
King	King 47
Kingdom	Kingdom 12
L	L 12
La	La 63
La Fille	La Fille 18
La Fille Mal	La Fille Mal 18
La Fille Mal Gard	La Fille Mal Gard 18
La Fille Mal Gard _	La Fille Mal Gard eacute 18
La Fille Mal Gard eacute	La Fille Mal Gard eacute 18
La Fille Mal _	La Fille Mal Gard 18
La Fille Mal _ _	La Fille Mal Gard eacute 18
La Fille Mal _ eacute	La Fille Mal Gard eacute 18
La Fille _	La Fille Mal 18
La Fille _ Gard	La Fille Mal Gard 18
La Fille _ Gard _	La Fille Mal Gard eacute 18
La Fille _ Gard eacute	La Fille Mal Gard eacute 18
La Fille _ _	La Fille Mal Gard 18
La Fille _ _ _	La Fille Mal Gard eacute 18
La Fille _ _ eacute	La Fille Mal Gard eacute 18
La _	La Fille 18
La _ Mal	La Fille Mal 18
La _ Mal Gard	La Fille Mal Gard 18
La _ Mal Gard _	La Fille Mal Gard eacute 18
La _ Mal Gard eacute	La Fille Mal Gard eacute 18
La _ Mal _	La Fille Mal Gard 18
La _ Mal _ _	La Fille Mal Gard eacute 18
La _ Mal _ eacute	La Fille Mal Gard eacute 18
La _ _	La Fille Mal 18
La _ _ Gard	La Fille Mal Gard 18
La _ _ Gard _	La Fille Mal Gard eacute 18
La _ _ Gard eacute	La Fille Mal Gard eacute 18
La _ _ _	La Fille Mal Gard 18
La _ _ _ _	La Fille Mal Gard eacute 18
La _ _ _ eacute	La Fille Mal Gard eacute 18
Labour	Labour 17
Lady	Lady 21
Lake	Lake 16
Lane	Lane 20
Lanka	Lanka 14
Larkin	Larkin 12
Last	Last 31
Later	Later 27
Law	Law 19
Lawrence	Lawrence 14
Layton	Layton 34
Le	Le 14
Leave	Leave 15
Lee	Lee 11
Leeds	Leeds 24
Leicester	Leicester 21
Leicester Square	Leicester Square 12
Leicester _	Leicester Square 12
Leonard	Leonard 220
Leonard _	Leonard was 32	Leonard had 11
Leonard had	Leonard had 11
Leonard was	Leonard was 32
Les	Les 36
Les Sylphides	Les Sylphides 11
Les _	Les Sylphides 11
Let	Let 100
Let _	Let us 21	Let me 14
Let me	Let me 14
Let us	Let us 21
Letter	Letter 13
Letters	Letters 12
Levi	Levi 34
Lewis	Lewis 11
Lie	Lie 15
Life	Life 22
Like	Like 83
Like _	Like the 12
Like the	Like the 12
Line	Line 14
Lise	Lise 14
Little	Little 23
Liverpool	Liverpool 37
Liverpool Street	Liverpool Street 14
Liverpool _	Liverpool Street 14
Local	Local 14
London	London 403
London _	London and 25	London to 11
London and	London and 25
London to	London to 11
Long	Long 14
Look	Look 88
Look I	Look I 15
Look _	Look I 15	Look at 15
Look at	Look at 15
Looking	Looking 25
Lorca	Lorca 17
Lord	Lord 45
Lord Woodleigh	Lord Woodleigh 20
Lord _	Lord Woodleigh 20
Louis	Louis 16
Love	Love 40
Lower	Lower 21
Ltd	Ltd 19
Lucy	Lucy 525
Lucy _	Lucy was 25	Lucy had 18	Lucy said 14	Lucy and 11
Lucy and	Lucy and 11
Lucy had	Lucy had 18
Lucy said	Lucy said 14
Lucy was	Lucy was 25
Luke	Luke 20
Lyon	Lyon 14
M	M 18
MacDiarmid	MacDiarmid 11
MacMillan	MacMillan 62
Magazine	Magazine 13
Maggie	Maggie 47
Magnus	Magnus 22
Major	Major 19
Make	Make 48
Make _	Make sure 22
Make sure	Make sure 22
Making	Making 11
Mal	Mal 18
Mal Gard	Mal Gard 18
Mal Gard _	Mal Gard eacute 18
Mal Gard _ _	Mal Gard eacute e 17
Mal Gard _ e	Mal Gard eacute e 17
Mal Gard eacute	Mal Gard eacute 18
Mal Gard eacute _	Mal Gard eacute e 17
Mal Gard eacute e	Mal Gard eacute e 17
Mal _	Mal Gard 18
Mal _ _	Mal Gard eacute 18
Mal _ _ _	Mal Gard eacute e 17
Mal _ _ e	Mal Gard eacute e 17
Mal _ eacute	Mal Gard eacute 18
Mal _ eacute _	Mal Gard eacute e 17
Mal _ eacute e	Mal Gard eacute e 17
Malcolm	Malcolm 11
Man	Man 32
Manager	Manager 25
Manchester	Manchester 45
Mann	Mann 15
Many	Many 138
Many _	Many of 25
Many _ _	Many of the 12
Many _ the	Many of the 12
Many of	Many of 25
Many of _	Many of the 12
Many of the	Many of the 12
March	March 68
Margot	Margot 28
Margot Iverson	Margot Iverson 12
Margot _	Margot Iverson 12
Marina	Marina 25
Mark	Mark 35
Martha	Martha 11
Martin	Martin 24
Mary	Mary 84
Massine	Massine 13
May	May 106
Maybe	Maybe 49
McCulloch	McCulloch 23
McGill	McGill 11
McGlashan	McGlashan 13
McLaggan	McLaggan 15
Meanwhile	Meanwhile 23
Measles	Measles 13
Media	Media 14
Medical	Medical 12
Mellowes	Mellowes 17
Menzies	Menzies 135
Menzies _	Menzies had 11
Menzies had	Menzies had 11
Merrivale	Merrivale 15
Metropolitan	Metropolitan 12
Michael	Michael 95
Midland	Midland 29
Midlands	Midlands 29
Milsom	Milsom 24
Mind	Mind 18
Minister	Minister 16
Miss	Miss 54
Mitchell	Mitchell 11
Mk	Mk 17
Mobility	Mobility 11
Modern	Modern 19
Moira	Moira 16
Monday	Monday 16
Monica	Monica 11
Month	Month 17
Month _	Month in 15
Month _ _	Month in the 14
Month _ _ Country	Month in the Country 14
Month _ _ _	Month in the Country 14
Month _ the	Month in the 14
Month _ the Country	Month in the Country 14
Month _ the _	Month in the Country 14
Month in	Month in 15
Month in _	Month in the 14
Month in _ Country	Month in the Country 14
Month in _ _	Month in the Country 14
Month in the	Month in the 14
Month in the Country	Month in the Country 14
Month in the _	Month in the Country 14
Montreal	Montreal 19
More	More 71
More _	More than 16
More than	More than 16
Moreover	Moreover 37
Morocco	Morocco 12
Moses	Moses 14
Most	Most 118
Most _	Most of 24	Most people 11
Most _ _	Most of the 14
Most _ the	Most of the 14
Most of	Most of 24
Most of _	Most of the 14
Most of the	Most of the 14
Most people	Most people 11
Mother	Mother 17
Mr	Mr 177
Mr Eames	Mr Eames 20
Mr Merrivale	Mr Merrivale 12
Mr _	Mr Eames 20	Mr Merrivale 12
Mrs	Mrs 179
Mrs Doran	Mrs Doran 16
Mrs Feather	Mrs Feather 13
Mrs Iverson	Mrs Iverson 15
Mrs Venables	Mrs Venables 14
Mrs Yardley	Mrs Yardley 15
Mrs _	Mrs Doran 16	Mrs Iverson 15	Mrs Yardley 15	Mrs Venables 14	Mrs Feather 13
Much	Much 32
Much _	Much of 12
Much of	Much of 12
Mummy	Mummy 16
Museum	Museum 28
Must	Must 14
My	My 187
N	N 17
NEWS	NEWS 11
NHS	NHS 43
NOT	NOT 11
Naipaul	Naipaul 14
Nathan	Nathan 22
National	National 128
National Association	National Association 13
National _	National Association 13
Neither	Neither 15
Network	Network 13
Never	Never 32
Nevertheless	Nevertheless 34
New	New 125
New York	New York 51
New _	New York 51
Newcastle	Newcastle 18
News	News 28
Next	Next 32
Nicholson	Nicholson 19
Nick	Nick 31
Nigel	Nigel 16
No	No 455
No I	No I 37
No _	No I 37	No one 29	No no 18	No it 13	No he 11
No he	No he 11
No it	No it 13
No no	No no 18
No one	No one 29
Nobody	Nobody 15
None	None 16
None _	None of 11
None of	None of 11
Nor	Nor 40
Nor _	Nor is 11
Nor is	Nor is 11
Norfolk	Norfolk 12
North	North 80
Northern	Northern 73
